"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"590","Jayden Struble","MTL","D","59","798.9","2","9","5","4","11","31.43","23","8.70","1.46","86","46","28","3","1","10","58","18","14","2","2","8","47","13","113","67","30","0","0","-"
"632","Kaiden Guhle","MTL","D","39","658.18333333333","2","9","4","5","11","50.00","40","5.00","2","106","71","26","4","0","1","41","15","13","1","1","11","34","19","72","83","51","0","0","-"
"699","Alex Steeves","BOS","C","43","441.5","6","5","2","3","11","55.00","46","13.04","5.49","91","71","55","25","1","5","34","9","6","2","1","9","19","7","140","49","24","2","4","33.33"
"717","Colton Dach","CHI, EDM","C","61","645.58333333333","4","7","4","3","11","73.33","54","7.41","7.29","126","100","73","33","4","20","52","16","11","4","1","15","28","14","219","65","27","22","39","36.07"
"842","Andrei Kuzmenko","L.A","L","52","598.91666666667","5","6","2","4","11","52.38","43","11.63","6.06","130","83","84","36","3","17","14","7","7","0","0","14","39","7","18","39","14","0","0","-"
"864","Nick Lardis","CHI","L","41","441.06666666667","8","3","2","1","11","78.57","43","18.60","5.61","93","71","58","22","0","7","10","5","5","0","0","5","17","4","56","29","10","1","1","50.00"
"902","Artyom Levshunov","CHI","D","68","1040.2666666667","1","10","5","5","11","32.35","61","1.64","2.77","162","94","47","8","0","7","34","17","17","0","0","7","77","14","86","117","60","0","0","-"
"909","Sam Dickinson","S.J","D","72","1080.1166666667","1","10","4","6","11","22.00","68","1.47","3.91","192","117","50","11","1","12","20","10","10","0","0","5","76","17","68","120","64","0","0","-"
"913","Matvei Gridin","CGY","R","37","468.03333333333","5","6","4","2","11","64.71","53","9.43","6.15","114","81","54","21","4","9","2","1","1","0","0","5","36","7","11","32","28","3","14","17.65"
"40","Kyle Palmieri","NYI","C","25","314.3","3","7","2","5","10","100.00","30","10.00","3.03","64","46","33","15","0","3","8","4","4","0","0","4","12","4","17","14","8","2","2","50.00"
"43","Victor Hedman","T.B","D","33","449.8","1","9","5","4","10","45.45","29","3.45","1.21","87","55","18","0","1","7","8","4","4","0","0","4","30","5","18","32","33","0","0","-"
"52","Brayden McNabb","VGK","D","63","1090.65","4","6","3","3","10","22.73","74","5.41","3.71","192","122","54","5","3","15","24","11","11","0","0","9","44","14","82","85","107","0","0","-"
"57","Marcus Foligno","MIN","L","56","621.68333333333","5","5","2","3","10","71.43","57","8.77","6.95","95","86","60","34","6","8","65","20","14","5","1","12","29","11","178","49","35","7","8","46.67"
"80","Alex Petrovic","DAL","D","54","791","2","8","5","3","10","28.57","57","3.51","1.83","119","71","28","1","0","11","47","13","10","1","2","3","44","8","83","106","72","0","0","-"
"136","Phillip Danault","L.A, MTL","C","75","919.41666666667","4","6","5","1","10","37.04","77","5.19","8.14","147","107","87","45","0","11","22","11","11","0","0","12","43","12","59","56","29","433","347","55.51"
"137","Vladislav Namestnikov","WPG","C","60","672.03333333333","4","6","4","2","10","62.50","55","7.27","6.75","113","84","72","39","3","18","24","7","6","0","1","7","38","10","71","49","31","76","116","39.58"
"306","Erik Cernak","T.B","D","61","875.41666666667","3","7","3","4","10","27.78","50","6.00","2.43","117","76","27","7","0","8","51","19","17","1","1","5","47","12","97","87","62","0","0","-"
"366","Luke Kunin","FLA","C","62","529.51666666667","4","6","6","0","10","50.00","46","8.70","5.76","95","66","49","25","2","10","45","10","5","3","2","9","21","3","122","61","38","185","180","50.68"
"384","Dante Fabbro","CBJ","D","74","1085.5333333333","4","6","5","1","10","33.33","64","6.25","1.66","169","97","32","1","2","23","33","15","14","1","0","12","56","18","58","139","101","0","0","-"
"432","Michael Rasmussen","DET","C","64","680.73333333333","3","7","5","2","10","66.67","54","5.56","7.14","118","88","67","34","2","10","8","4","4","0","0","4","27","6","64","61","46","118","141","45.56"
"464","Neal Pionk","WPG","D","51","895.88333333333","2","8","3","5","10","28.57","66","3.03","1.63","161","98","31","0","0","7","37","13","11","1","1","9","49","11","97","67","58","0","0","-"
"677","Ian Moore","ANA","D","67","841.1","4","6","3","3","10","41.67","64","6.25","5.14","159","112","61","18","1","11","24","12","12","0","0","5","40","20","40","111","72","0","1","0.00"
"754","Joel Nystrom","CAR","D","38","522.4","1","9","7","2","10","40.00","40","2.50","1.43","117","60","34","6","1","19","6","3","3","0","0","1","30","3","8","56","17","0","0","-"
"757","Zakhar Bardakov","COL","C","60","422.15","1","9","4","5","10","58.82","35","2.86","4.86","79","64","38","23","3","10","14","7","7","0","0","10","27","7","50","50","20","72","97","42.60"
"825","Elias Pettersson","VAN","D","70","953.31666666667","3","7","1","6","10","32.26","42","7.14","1.64","130","79","32","5","1","8","37","13","11","1","1","15","66","11","126","96","78","0","0","-"
"30","Tyler Myers","DAL, VAN","D","73","1188.5666666667","1","8","3","5","9","25.71","83","1.20","4.17","185","128","45","10","4","17","50","25","25","0","0","15","76","18","60","80","96","0","0","-"
"36","Adam Henrique","EDM","C","65","699.65","2","7","7","0","9","56.25","75","2.67","9.09","139","104","81","42","2","17","12","6","6","0","0","3","33","13","33","37","66","236","190","55.40"
"87","Jeff Skinner","S.J","L","32","333.48333333333","4","5","2","3","9","75.00","44","9.09","4.76","88","63","51","21","1","12","14","7","7","0","0","15","24","5","17","16","11","2","8","20.00"
"117","Brandon Saad","VGK","L","49","598.41666666667","3","6","4","2","9","50.00","73","4.11","9.03","139","107","94","50","5","17","14","7","7","0","0","4","29","10","11","22","16","9","18","33.33"
"141","Barclay Goodrow","S.J","C","82","754.83333333333","4","5","3","2","9","60.00","53","7.55","8.1","110","80","61","39","6","12","64","17","12","2","3","10","36","6","139","62","47","12","18","40.00"
"172","Colton Sissons","VGK","C","66","686.05","6","3","2","1","9","60.00","67","8.96","8.62","124","104","79","46","3","14","26","10","8","2","0","9","27","12","92","57","39","263","192","57.80"
"225","Rasmus Ristolainen","PHI","D","44","766.51666666667","0","9","4","5","9","29.03","42","0.00","2.69","110","70","36","12","0","12","10","5","5","0","0","10","35","9","43","92","47","0","0","-"
"321","Noah Juulsen","PHI","D","52","634.66666666667","1","8","2","6","9","34.62","24","4.17","1.04","80","44","25","2","1","9","15","6","5","1","0","5","50","10","98","109","42","0","0","-"
"328","Mathieu Joseph","L.A, STL","R","51","564.61666666667","1","8","2","6","9","64.29","35","2.86","5.07","83","65","52","33","1","10","9","3","2","1","0","13","24","13","114","50","27","5","13","27.78"
"342","Kevin Stenlund","UTA","C","80","868.41666666667","2","7","3","4","9","45.00","53","3.77","6.39","139","96","81","26","4","14","20","10","10","0","0","9","36","8","37","73","40","403","315","56.13"
"362","Ryan Lomberg","CGY","L","57","509.01666666667","4","5","4","1","9","64.29","53","7.55","5.03","98","84","45","16","0","6","59","14","7","5","2","14","18","3","129","33","17","5","8","38.46"
"419","Jeffrey Viel","ANA, BOS","L","45","519.56666666667","3","6","4","2","9","40.91","58","5.17","8.02","123","95","74","41","1","11","75","23","15","7","1","17","28","8","120","48","20","1","3","25.00"
"452","Timothy Liljegren","S.J, WSH","D","47","757.91666666667","1","8","5","3","9","31.03","36","2.78","1.84","100","63","29","4","2","9","29","13","12","1","0","7","43","7","38","80","68","0","0","-"
"453","Dylan Samberg","WPG","D","66","1217.7666666667","0","9","2","7","9","21.43","74","0.00","2.7","194","121","47","6","7","11","12","6","6","0","0","6","59","22","45","97","84","0","0","-"
"500","Jesperi Kotkaniemi","CAR","C","42","453.95","2","7","4","3","9","45.00","40","5.00","4.68","76","55","46","25","1","6","6","3","3","0","0","9","31","3","62","57","16","125","133","48.45"
"508","Ty Dellandrea","S.J","C","46","514.96666666667","1","8","6","2","9","75.00","45","2.22","5.52","81","61","47","29","1","8","20","10","10","0","0","16","24","6","126","55","28","199","170","53.93"
