"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"649","William Eklund","S.J","L","78","226.86666666667","3","13","9","4","16","53.33","36","8.33","6.77","76","52","54","20","0","16","6","3","3","0","0","2","7","2","1","5","1","0","0","-"
"660","Matthew Knies","TOR","L","79","212.55","6","10","3","7","16","51.61","40","15.00","8.95","52","50","48","39","0","9","0","0","0","0","0","1","6","1","2","1","0","0","0","-"
"70","Tyler Toffoli","S.J","C","79","232.68333333333","6","9","5","4","15","48.39","62","9.68","11.29","106","85","81","53","0","14","4","2","2","0","0","1","6","4","2","4","1","0","0","-"
"82","Zach Hyman","EDM","L","58","209.8","10","5","3","2","15","32.61","39","25.64","11.41","63","58","63","56","0","13","4","2","2","0","0","1","3","0","4","2","1","0","0","-"
"180","Pavel Buchnevich","STL","L","81","193.01666666667","4","11","7","4","15","71.43","23","17.39","4.81","45","35","40","21","0","3","2","1","1","0","0","0","11","2","0","6","1","6","8","42.86"
"214","Alexander Wennberg","S.J","C","80","268.15","8","7","4","3","15","44.12","25","32.00","8.29","53","42","51","40","0","4","4","2","2","0","0","1","4","3","1","4","0","132","113","53.88"
"597","Alexis Lafrenière","NYR","L","82","199.11666666667","9","6","6","0","15","45.45","34","26.47","7.41","67","54","49","31","0","3","2","1","1","0","0","0","4","2","1","4","0","0","1","0.00"
"600","Anton Lundell","FLA","C","64","171.43333333333","4","11","4","7","15","60.00","21","19.05","4.52","52","39","36","15","0","7","4","2","2","0","0","1","8","1","1","4","0","72","59","54.96"
"651","Matt Coronato","CGY","R","80","222.06666666667","7","8","7","1","15","60.00","42","16.67","7.96","82","60","58","32","0","9","10","5","5","0","0","2","8","1","0","2","0","17","20","45.95"
"32","John Carlson","ANA, WSH","D","71","194.43333333333","2","12","5","7","14","56.00","18","11.11","2","40","28","17","2","0","4","0","0","0","0","0","0","10","5","3","3","3","0","0","-"
"43","Matt Duchene","DAL","C","57","133.26666666667","5","9","5","4","14","58.33","30","16.67","6.87","48","42","38","23","0","8","0","0","0","0","0","0","5","0","0","3","0","53","32","62.35"
"119","Dougie Hamilton","N.J","D","77","160.28333333333","4","10","3","7","14","56.00","33","12.12","2.68","70","44","27","2","0","6","4","2","2","0","0","1","9","3","6","2","2","0","0","-"
"185","Oliver Bjorkstrand","T.B","R","80","250.98333333333","9","5","4","1","14","40.00","48","18.75","8.51","90","74","76","21","0","9","8","4","4","0","0","3","3","3","3","5","1","0","0","-"
"230","Sam Bennett","FLA","C","76","247.46666666667","5","9","4","5","14","46.67","45","11.11","8.62","102","68","70","32","1","11","20","9","9","0","0","2","8","3","1","6","0","83","72","53.55"
